persona_id,country,age,gender,education_level,social_class,political_left_right,importance_religion,religiosity,response,temperature,model,rating_abortion,rating_death_penalty,rating_divorce,rating_euthanasia,rating_homosexuality,rating_prostitution,rating_suicide
0,United States,18,1,3,3,3,1,2,"1. homosexuality: 2
2. abortion: 3
3. divorce: 8
4. suicide: 1
5. euthanasia: 3
6. paid_sexual_services: 7
7. capital_punishment: 2",0.3,gemini-2.5-flash,3,2,8,3,2,7,1
1,United States,61,2,3,4,5,2,1,"1. homosexuality: 2
2. abortion: 1
3. divorce: 3
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 3
7. capital_punishment: 7",0.3,gemini-2.5-flash,1,7,3,1,2,3,1
2,United States,58,2,2,3,5,1,1,"1. homosexuality: 9
2. abortion: 3
3. divorce: 6
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 1
7. capital_punishment: 7",0.3,gemini-2.5-flash,3,7,6,2,9,1,1
3,United States,39,1,3,4,5,1,3,"1. homosexuality: 10
2. abortion: 8
3. divorce: 9
4. suicide: 2
5. euthanasia: 8
6. paid_sexual_services: 4
7. capital_punishment: 4",0.3,gemini-2.5-flash,8,4,9,8,10,4,2
4,United States,51,1,2,3,1,1,2,"1. homosexuality: 8
2. abortion: 3
3. divorce: 7
4. suicide: 1
5. euthanasia: 4
6. paid_sexual_services: 2
7. capital_punishment: 1",0.3,gemini-2.5-flash,3,1,7,4,8,2,1
5,United States,19,1,3,4,6,1,3,"1. homosexuality: 10
2. abortion: 8
3. divorce: 10
4. suicide: 5
5. euthanasia: 9
6. paid_sexual_services: 1
7. capital_punishment: 6",0.3,gemini-2.5-flash,8,6,10,9,10,1,5
6,United States,60,2,3,3,7,3,1,"1. homosexuality: 9
2. abortion: 3
3. divorce: 6
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 2
7. capital_punishment: 8",0.3,gemini-2.5-flash,3,8,6,2,9,2,1
7,United States,33,2,3,4,5,2,2,"1. homosexuality: 9
2. abortion: 9
3. divorce: 8
4. suicide: 4
5. euthanasia: 9
6. paid_sexual_services: 10
7. capital_punishment: 3",0.3,gemini-2.5-flash,9,3,8,9,9,10,4
8,United States,55,2,2,4,5,1,2,"1. homosexuality: 10
2. abortion: 2
3. divorce: 4
4. suicide: 1
5. euthanasia: 3
6. paid_sexual_services: 7
7. capital_punishment: 7",0.3,gemini-2.5-flash,2,7,4,3,10,7,1
9,United States,88,1,3,3,5,3,1,"1. homosexuality: 9
2. abortion: 7
3. divorce: 8
4. suicide: 3
5. euthanasia: 8
6. paid_sexual_services: 1
7. capital_punishment: 6",0.3,gemini-2.5-flash,7,6,8,8,9,1,3
10,United States,35,1,2,3,3,1,2,"1. homosexuality: 10
2. abortion: 8
3. divorce: 9
4. suicide: 2
5. euthanasia: 8
6. paid_sexual_services: 8
7. capital_punishment: 1",0.3,gemini-2.5-flash,8,1,9,8,10,8,2
11,United States,84,1,2,3,6,4,2,"1. homosexuality: 1
2. abortion: 3
3. divorce: 5
4. suicide: 1
5. euthanasia: 4
6. paid_sexual_services: 1
7. capital_punishment: 8",0.3,gemini-2.5-flash,3,8,5,4,1,1,1
12,United States,24,2,2,3,8,1,1,"1. homosexuality: 2
2. abortion: 1
3. divorce: 3
4. suicide: 1
5. euthanasia: 1
6. paid_sexual_services: 7
7. capital_punishment: 9",0.3,gemini-2.5-flash,1,9,3,1,2,7,1
13,United States,47,1,2,4,3,1,1,"1. homosexuality: 10
2. abortion: 2
3. divorce: 5
4. suicide: 1
5. euthanasia: 3
6. paid_sexual_services: 1
7. capital_punishment: 2",0.3,gemini-2.5-flash,2,2,5,3,10,1,1
14,United States,19,2,3,2,8,1,1,"1. homosexuality: 9
2. abortion: 3
3. divorce: 4
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 1
7. capital_punishment: 9",0.3,gemini-2.5-flash,3,9,4,2,9,1,1
15,United States,23,2,3,4,4,2,3,"1. homosexuality: 9
2. abortion: 10
3. divorce: 9
4. suicide: 2
5. euthanasia: 8
6. paid_sexual_services: 1
7. capital_punishment: 1",0.3,gemini-2.5-flash,10,1,9,8,9,1,2
16,United States,38,2,2,4,6,2,2,"1. homosexuality: 10
2. abortion: 7
3. divorce: 5
4. suicide: 1
5. euthanasia: 3
6. paid_sexual_services: 1
7. capital_punishment: 8",0.3,gemini-2.5-flash,7,8,5,3,10,1,1
17,United States,41,2,3,4,9,4,2,"1. homosexuality: 1
2. abortion: 2
3. divorce: 9
4. suicide: 2
5. euthanasia: 3
6. paid_sexual_services: 9
7. capital_punishment: 10",0.3,gemini-2.5-flash,2,10,9,3,1,9,2
18,United States,49,1,3,2,7,3,1,"1. homosexuality: 1
2. abortion: 2
3. divorce: 4
4. suicide: 1
5. euthanasia: 2
6. paid_sexual_services: 1
7. capital_punishment: 9",0.3,gemini-2.5-flash,2,9,4,2,1,1,1
19,United States,25,1,3,4,6,1,1,"1. homosexuality: 4
2. abortion: 6
3. divorce: 8
4. suicide: 2
5. euthanasia: 4
6. paid_sexual_services: 5
7. capital_punishment: 7",0.3,gemini-2.5-flash,6,7,8,4,4,5,2
20,United States,70,1,3,2,5,4,1,"1. homosexuality: 9
2. abortion: 7
3. divorce: 7
4. suicide: 3
5. euthanasia: 6
6. paid_sexual_services: 8
7. capital_punishment: 6",0.3,gemini-2.5-flash,7,6,7,6,9,8,3
